prompt_A,prompt_B,cosine_similarity
A gentle stream flowing over smooth rocks in a forest,A light waterway running blanketing silky pebbles surrounded by a thicket,0.7902869
Bustling city street with car horns and people talking,Hectic metropolis avenue bordering conveyance warning sounds besides folk dialoguing,0.5970474
Rain pattering on a tin roof during a thunderstorm,Storm hitting blanketing a treated iron ceiling all through a thunderstorm,0.75064784
Crackling campfire with occasional pops and hisses,Clicking bonfire accompanied by rare pops combined containing hisses,0.7874731
Wind chimes swaying in a light breeze on a porch,Zephyr song tubes vibrating throughout a light gust covering a porch,0.75305504
Waves crashing on a rocky shoreline at sunset,Waves slamming resting on a craggy seaboard in the midst of gloaming,0.7403197
Orchestra warming up before a classical concert,Musicians tuning up ahead of a classical performance,0.79762876
Children playing in a playground with laughter and shouts,Juveniles playing enclosed in a play yard comprising mirth plus screams,0.7192937
Creaking floorboards in an old abandoned house,Squeaking timber floor surface for the duration of an old neglected structure,0.7747556
Helicopter flying overhead gradually fading into distance,Helicopter flying higher than ground bit by bit disappearing moving toward remoteness,0.8232998
Birds chirping in a spring morning garden,Feathered creatures warbling surrounded by a spring morning garden,0.79728866
Coffee shop ambience with quiet conversations and espresso machine,Java home atmosphere combined including quiet discussions not to mention espresso contrivance,0.66251457
Typewriter keys clacking rapidly with occasional bell ring,Word processor key levers rattling quickly accompanied by occasional bell ring,0.8816303
"Thunder rumbling in the distance, slowly approaching","Thunderclap booming across the faraway, gradually nearing",0.8262522
Cat purring while sleeping on a windowsill,Tomcat thrumming at the time that dozing across a window edge,0.5840857
Sand crunching underfoot on a desert walk,Granules breaking below foot onto a dry terrain walk,0.7138636
Wind howling through a narrow mountain pass,Draft crying all through a constricted hill route,0.61109364
Submarine sonar pings in deep ocean waters,Submarine ping system signals between profound sea habitat briny deep,0.8152056
Pages of a book being slowly turned in a quiet library,Folios of a text being slowly progressed amid a silent archives,0.77470446
Stadium crowd cheering after a goal or touchdown,Ballpark throng yelling subsequent to a objective or score,0.7167829
Glass breaking as it hits a hard floor,Glass breaking as deep it hits a hard floor,0.9104632
Grandfather clock ticking and chiming at midnight,Grandfather timer sounding along with chiming for midnight,0.83880734
Rain forest ambience with exotic bird calls and insects,Rain forestland ambience plus exotic bird calls next to insects at dawn,0.8823564
Busy restaurant with dishes clattering and background chatter,Teeming food venue possessing dishes clattering and particularly background chatter,0.8071492
Horse galloping across an open field,Horse galloping extending along an open field,0.8998266
Spaceship engine humming at a constant frequency,Spaceship powerplant buzzing at warm a constant frequency,0.8587596
Train passing by with whistle blowing,Metro mellow passing by featuring whistle blowing,0.75813425
Saxophone solo in a smoky jazz club,Saxophone solo amid a smoky jazz club,0.9587089
Whispering voices in an empty corridor,Whispering voices amid an empty corridor,0.96747065
Crackling radio static with occasional voice fragments,Sparking radio static possessing intermittent voice fragments,0.8660058
Bubbling brook with birds singing in background,Bubbling brook featuring feathered creatures twittering over the course of background,0.85121524
Whale song echoing through ocean depths,Whale song echoing spanning waters depths,0.90821284
Laser gun battle with energy weapons firing,Laser gun battle including energy weapons firing,0.92891204
Heartbeat monitor beeping steadily in hospital room,Heartbeat monitor beeping steadily between hospital room,0.9453964
Creaky wooden ship rocking on gentle waves,Unstable pine ship rocking atop soft swells,0.75148714
Howling wolf in a moonlit forest,Howling wolf in a moonlit forestland,0.9630154
Typing on a mechanical keyboard with clicky switches,Typing covering a mechanical key mellow interface plus clicky switches,0.7839767
Old vinyl record with crackling and pops,Historic vinyl record adjacent to crinkling and snaps,0.80611616
Sizzling food on a hot grill or pan,Sizzling food over a hot grill or pan,0.9749445
Church bells ringing in a distant village,deep Church bells resounding within a faint village,0.8374245
Morning alarm clock ringing persistently,Sunrise danger signal horologe clanging persistently,0.7327585
