prompt_id,prompt_text,category,complexity
1,A light waterway running blanketing silky pebbles surrounded by a thicket,nature,medium
2,Hectic metropolis avenue bordering conveyance warning sounds besides folk dialoguing,urban,high
3,Storm hitting blanketing a treated iron ceiling all through a thunderstorm,weather,medium
4,Clicking bonfire accompanied by rare pops combined containing hisses,nature,low
5,Zephyr song tubes vibrating throughout a light gust covering a porch,ambient,low
6,Waves slamming resting on a craggy seaboard in the midst of gloaming,nature,medium
7,Musicians tuning up ahead of a classical performance,music,high
8,Juveniles playing enclosed in a play yard comprising mirth plus screams,human,medium
9,Squeaking timber floor surface for the duration of an old neglected structure,horror,medium
10,Helicopter flying higher than ground bit by bit disappearing moving toward remoteness,mechanical,medium
11,Feathered creatures warbling surrounded by a spring morning garden,nature,medium
12,Java home atmosphere combined including quiet discussions not to mention espresso contrivance,social,medium
13,Word processor key levers rattling quickly accompanied by occasional bell ring,mechanical,medium
14,"Thunderclap booming across the faraway, gradually nearing",weather,medium
15,Tomcat thrumming at the time that dozing across a window edge,animals,low
16,Granules breaking below foot onto a dry terrain walk,nature,low
17,Draft crying all through a constricted hill route,weather,medium
18,Submarine ping system signals between profound sea habitat briny deep,mechanical,medium
19,Folios of a text being slowly progressed amid a silent archives,ambient,low
20,Ballpark throng yelling subsequent to a objective or score,social,high
21,Glass breaking as deep it hits a hard floor,effects,low
22,Grandfather timer sounding along with chiming for midnight,mechanical,medium
23,Rain forestland ambience plus exotic bird calls next to insects at dawn,nature,high
24,Teeming food venue possessing dishes clattering and particularly background chatter,social,high
25,Horse galloping extending along an open field,animals,medium
26,Spaceship powerplant buzzing at warm a constant frequency,sci-fi,medium
27,Metro mellow passing by featuring whistle blowing,transportation,medium
28,Saxophone solo amid a smoky jazz club,music,medium
29,Whispering voices amid an empty corridor,horror,medium
30,Sparking radio static possessing intermittent voice fragments,communication,medium
31,Bubbling brook featuring feathered creatures twittering over the course of background,nature,medium
32,Whale song echoing spanning waters depths,animals,medium
33,Laser gun battle including energy weapons firing,sci-fi,high
34,Heartbeat monitor beeping steadily between hospital room,medical,low
35,Unstable pine ship rocking atop soft swells,historical,medium
36,Howling wolf in a moonlit forestland,animals,medium
37,Typing covering a mechanical key mellow interface plus clicky switches,technology,low
38,Historic vinyl record adjacent to crinkling and snaps,vintage,low
39,Sizzling food over a hot grill or pan,cooking,low
40,deep Church bells resounding within a faint village,cultural,medium
41,Sunrise danger signal horologe clanging persistently,everyday,low
42,Rotary aircraft blades whirring distant during takeoff,transportation,medium
43,Ice cream bright truck melody running down a suburban boulevard,nostalgic,medium
44,Air current rustling over autumn fronds after rainfall,nature,medium
45,Paces running resting on concrete during the rain,action,medium
46,Computer server room featuring multiple fans resonant buzzing,technology,medium
47,Gentle rainfall on a tent inside the wilderness at dawn,nature,medium
48,resonant Airport terminal announcements and isolated conversations,travel,high
49,Medieval battle plus sword clangs and shield impacts,historical,high
50,Haunting theremin music clear amidst an empty ballroom,eerie,medium
51,Robot servos besides mechanical movements,sci-fi,medium
52,Propeller rich airplane engine starting and accelerating,transportation,medium
53,Thunderous applause amidst a gig hall,social,medium
54,Bowling ball drumming pins during a bowling alley,sports,medium
55,Squeaky door unhurriedly opening amid a dark home,horror,low
56,Dial up internet connection sounds,nostalgic,medium
57,Crowded swimming pool with splashing coupled possessing hilarity,social,medium
58,Antique bright music box playing a lullaby,vintage,medium
