prompt_A,prompt_B,cosine_similarity
A gentle stream flowing over smooth rocks in a forest,A delicate creek streaming over smooth pebbles amid a forest,0.90313154
Bustling city street with car horns and people talking,Busy metropolis avenue alongside conveyance warning sounds as well as folk dialoguing,0.69670534
Rain pattering on a tin roof during a thunderstorm,Storm hitting over a galvanized metal roof throughout a thunderstorm,0.78694034
Crackling campfire with occasional pops and hisses,Snapping fire including occasional pops together with hisses,0.8202379
Wind chimes swaying in a light breeze on a porch,Zephyr chimes wavering throughout a light breeze covering a porch,0.8514053
Waves crashing on a rocky shoreline at sunset,Waves colliding on a rocky seaboard in the course of sundown,0.83621484
Orchestra warming up before a classical concert,Orchestra gearing up prior to a classical concert,0.8971781
Children playing in a playground with laughter and shouts,Juveniles engaging within a play area accompanied by laughter plus hollers,0.7558385
Creaking floorboards in an old abandoned house,Creaking wooden floors throughout an old forsaken house,0.83894104
Helicopter flying overhead gradually fading into distance,Helicopter flying above ground gradually fading heading to distance,0.9207959
Birds chirping in a spring morning garden,Birds singing among a spring morning garden,0.9249219
Coffee shop ambience with quiet conversations and espresso machine,Coffee shop ambience together with subdued conversations in addition to espresso contrivance,0.6758367
Typewriter keys clacking rapidly with occasional bell ring,Typewriter keys clacking rapidly with random bell ring,0.9619913
"Thunder rumbling in the distance, slowly approaching","Thunder rumbling throughout the distance, slowly approaching",0.9696424
Cat purring while sleeping on a windowsill,Cat purring while sleeping across a windowsill,0.97330856
Sand crunching underfoot on a desert walk,Sand crunching underfoot upon a desert walk,0.97774273
Wind howling through a narrow mountain pass,Draft howling throughout a narrow mountain pass,0.88137144
Submarine sonar pings in deep ocean waters,Submarine sonar pings among profound marine environment waters,0.92303956
Pages of a book being slowly turned in a quiet library,Pages of a book being slowly turned in a quiet library,0.9999999
Stadium crowd cheering after a goal or touchdown,Stadium multitude cheering after a goal or touchdown,0.9444457
Glass breaking as it hits a hard floor,Glass breaking as it hits a hard floor,1.0
Grandfather clock ticking and chiming at midnight,Grandfather timer sounding as well as chiming for midnight,0.809003
Rain forest ambience with exotic bird calls and insects,Rain forest ambience plus exotic bird calls together with insects,0.9208704
Busy restaurant with dishes clattering and background chatter,Teeming food venue with dishes clattering and background chatter,0.9068625
Horse galloping across an open field,Horse galloping across an open field,1.0
Spaceship engine humming at a constant frequency,Spaceship powerplant buzzing at a constant frequency,0.8843936
Train passing by with whistle blowing,Metro passing by featuring whistle blowing,0.81736994
Saxophone solo in a smoky jazz club,Saxophone solo within a smoky jazz club,0.9731089
Whispering voices in an empty corridor,Whispering voices in an empty corridor,1.0000001
Crackling radio static with occasional voice fragments,Sparking radio static with occasional voice fragments,0.9545225
Bubbling brook with birds singing in background,Bubbling brook featuring feathered creatures singing throughout background,0.8944199
Whale song echoing through ocean depths,Whale song echoing across waters depths,0.9488134
Laser gun battle with energy weapons firing,Laser gun battle with energy weapons firing,1.0000001
Heartbeat monitor beeping steadily in hospital room,Heartbeat monitor beeping steadily among hospital room,0.963791
Creaky wooden ship rocking on gentle waves,Unstable wooden ship rocking atop soft swells,0.7934563
Howling wolf in a moonlit forest,Howling wolf in a moonlit forest,1.0000001
Typing on a mechanical keyboard with clicky switches,Typing covering a mechanical key interface plus clicky switches,0.828679
Old vinyl record with crackling and pops,Historic vinyl record alongside crinkling and snaps,0.8173828
Sizzling food on a hot grill or pan,Sizzling food on a hot grill or pan,1.0000001
Church bells ringing in a distant village,Church bells resounding within a faint village,0.88483983
Morning alarm clock ringing persistently,Morning danger signal horologe clanging persistently,0.736697
Helicopter blades whirring during takeoff,Rotary aircraft blades whirring during takeoff,0.8877567
Ice cream truck melody playing down a suburban street,Ice cream truck melody running down a suburban boulevard,0.930988
Wind rustling through autumn leaves,Air current rustling across autumn fronds,0.86808836
Footsteps running on concrete in the rain,Paces running on concrete during the rain,0.86060375
Computer server room with multiple fans humming,Computer server room featuring multiple fans buzzing,0.88952434
Gentle rainfall on a tent in the wilderness,Gentle rainfall on a tent inside the wilderness,0.97150135
Airport terminal announcements and distant conversations,Airport terminal announcements and isolated conversations,0.9417393
Medieval battle with sword clangs and shield impacts,Medieval battle accompanied by sword clangs and shield impacts,0.9484738
Haunting theremin music in an empty ballroom,Haunting theremin music amidst an empty ballroom,0.92485803
Robot servos and mechanical movements,Robot servos in addition to mechanical movements,0.87615603
Propeller airplane engine starting and accelerating,Propeller airplane engine starting and accelerating,1.0
Thunderous applause in a concert hall,Thunderous applause among a concert hall,0.9662199
Bowling ball hitting pins in a bowling alley,Bowling ball hitting pins during a bowling alley,0.97518146
Squeaky door slowly opening in a dark house,Squeaky door slowly opening within a dark house,0.97329384
